Designator,Mid X,Mid Y,Layer,Rotation
C1,186.5122,-97.9678,T,180
C2,190.3984,-95.3008,T,0
C3,202.1332,-99.3648,T,-90
C4,198.374,-109.8804,T,-90
C5,183.2102,-108.2548,T,-90
C6,184.7088,-108.2548,T,-90
C7,203.6064,-99.3648,T,-90
C8,181.8132,-98.9076,T,180
C9,181.864,-104.6734,T,180
C10,190.5,-111.6076,T,180
C13,210.8228,-100.3808,T,-90
C14,213.8708,-93.6752,T,0
C15,212,-108,T,0
C16,203.8096,-89.2048,T,180
C17,209.0928,-87.7824,T,-90
C18,210.8228,-87.7824,T,-90
C19,226.4,-77.5,T,180
C20,213.8708,-80.8736,T,0
C21,210.9216,-116.0272,T,-90
C22,218.8625,-128,T,180
C23,213.5632,-110.9472,T,0
C33,197.4596,-112.2934,T,0
D1,210.9216,-96.52,T,-90
D2,210.8228,-83.7184,T,-90
D3,210.9216,-112.5728,T,-90
J1,208.4256,-76.5508,T,0
J2,232.435,-107.7416,T,-90
J4,197.3072,-80.9752,T,0
J5,176.4792,-99.7862,T,0
JP1,213.4644,-103.8352,T,90
JP2,214.376,-90.424,T,180
JP3,213.646,-121.19,T,90
JP4,214.376,-92.0496,T,0
JP5,215.2716,-121.19,T,90
JP6,215.09,-103.8352,T,90
Q1,225.9,-81.635,T,0
Q2,225.7,-91.15,T,0
Q3,225.9,-109.635,T,0
Q4,225.4,-99.905,T,0
Q5,225.9,-127.365,T,0
Q6,225.7,-118.365,T,0
R1,219.3572,-105.664,T,-90
R2,219.3572,-97.3328,T,-90
R3,200.152,-88.138,T,90
R4,200.152,-84.7344,T,90
R5,219.3572,-80.8736,T,90
R6,219.3572,-89.2048,T,-90
R7,219.6592,-114.4016,T,-90
R8,219.6592,-122.7328,T,-90
R9,201.7776,-120.5992,T,-90
RV1,196.8642,-128.1656,T,90
U1,193.4718,-102.9462,T,0
U2,204.6224,-83.9216,T,90
U5,214.4144,-98.3392,T,90
U6,214.4804,-85.7504,T,90
U7,214.4522,-115.6574,T,90
Y1,181.864,-101.7778,T,-90
