designator,Mid X,Mid Y,layer,Rotation
C1,130.35,-76.85,top,90
C23,152.2,-96.25,top,-90
C24,152.225,-102.025,top,-90
C25,123.175,-95.875,top,0
C26,169.291,-68.5,top,180
C27,115.85,-98.675,top,-90
C28,121.4,-105.075,top,-90
C29,145.875,-112.625,top,-90
C30,152.375,-88,top,90
C31,115.825,-102.875,top,-90
C32,169.716,-77.5,top,0
C33,129.5,-112.75,top,-90
C34,137.75,-111.775,top,180
C35,141.7,-111.775,top,180
C36,147.4,-112.625,top,-90
C37,150.825,-88,top,-90
C38,141.275,-85,top,0
C39,136.425,-85,top,0
C40,128.775,-84.75,top,90
C41,124.6,-92.275,top,180
C42,137.75,-113.275,top,180
C43,124.45,-105.075,top,90
C44,122.9,-105.075,top,90
C45,116.6,-69.2,top,180
D1,187.225,-102.1,top,180
D2,187.2125,-99.675,top,180
D3,187.2,-97.25,top,180
D4,187.2,-94.825,top,180
J1,125.7,-68.15,top,0
J2,137.05,-64.225,top,180
J3,156.125,-68.25,top,0
J4,148.97,-64.225,top,180
J5,160.075,-73.325,top,180
J6,187.375,-83.3,top,90
J7,108.75,-72.85,top,-90
J8,185.03,-133.15,top,90
J9,161.275,-145.475,top,0
J10,177.95,-106.77,top,0
J11,180.975,-70.104,top,0
J12,190.5,-70.226,top,0
J13,108.675,-98.825,top,-90
J14,168.656,-61.722,top,180
J15,177.95,-89.27,top,0
J16,108.675,-119.95,top,-90
J17,140.075,-145.475,top,0
J18,118.9,-145.455,top,0
R1,128.975,-69.425,top,-90
R2,152.975,-69.525,top,-90
R3,122.8,-67.4,top,90
R4,118.25,-101.675,top,0
R5,116.1625,-119.825,top,0
R6,116.15,-124.95,top,0
R7,116.075,-129.575,top,0
R8,116.075,-134.575,top,0
R9,119.8,-138.95,top,0
R10,124.675,-138.95,top,0
R11,129.775,-138.95,top,0
R12,134.8,-138.95,top,0
R13,140.9,-138.95,top,0
R14,145.9,-138.95,top,0
R15,150.9,-138.95,top,0
R16,155.9,-138.95,top,0
R17,119.8,-137.475,top,180
R18,124.675,-137.475,top,180
R19,129.775,-137.45,top,180
R20,134.8,-137.45,top,180
R21,140.9,-137.45,top,180
R22,145.9,-137.45,top,180
R23,150.9,-137.45,top,180
R24,155.9,-137.45,top,180
R25,109.075,-91.7,top,0
R26,109.075,-93.2,top,0
R27,109.075,-94.7,top,0
R28,115.225,-113.75,top,90
R29,116.15,-121.325,top,180
R30,116.15,-126.45,top,180
R31,116.075,-131.075,top,180
R32,116.075,-136.05,top,180
R33,119.2,-90,top,180
R34,119.225,-92,top,180
R35,119.175,-94.025,top,180
R36,116.725,-113.75,top,-90
R37,162.15,-138.975,top,0
R38,167.15,-138.975,top,0
R39,172.175,-138.95,top,0
R40,177.15,-138.975,top,0
R41,178.5,-132.225,top,90
R42,178.5,-127.225,top,90
R43,178.475,-122.25,top,90
R44,178.45,-117.25,top,90
R45,122.475,-79.5,top,0
R46,126.2,-82.975,top,90
R47,162.15,-137.45,top,180
R48,167.15,-137.475,top,180
R49,172.1625,-137.45,top,180
R50,177.15,-137.475,top,180
R51,177,-132.225,top,-90
R52,177,-127.225,top,-90
R53,176.975,-122.25,top,-90
R54,176.975,-117.25,top,-90
R55,173.225,-103.375,top,180
R56,173.225,-101.875,top,180
R57,173.225,-100.375,top,180
R58,173.225,-98.875,top,180
SW3,124.8,-60.275,top,180
SW5,116.6,-63.4,top,90
U1,138.025,-98.475,top,0
U2,134.025,-76.4,top,90
U3,169.291,-73.025,top,180
U4,147.7,-76.325,top,90
U5,126.9,-76.82,top,90
U9,169.085,-87.2,top,180
U10,169.86,-81.675,top,180
Y2,118.3,-98.8,top,-90
