 Designator,Val,Package, Mid X,Mid Y,Layer,Rotation,,,,,,,,
C21,2.2u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,141.478,-112.522,top,-90,,,,,,,,
C22,2.2u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,146.452,-88.11,top,0,,,,,,,,
C23,C,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,114.554,-86.868,top,90,,,,,,,,
C24,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,122.428,-74.93,top,180,,,,,,,,
C26,9p,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,115.824,-98.298,top,90,,,,,,,,
C27,9p,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,119.126,-93.218,top,-90,,,,,,,,
C28,10u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,154.686,-90.678,top,180,,,,,,,,
C29,22u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,149.098,-94.234,top,90,,,,,,,,
C30,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,146.558,-90.5,top,-90,,,,,,,,
C31,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,120.6445,-93.19,top,-90,,,,,,,,
C32,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,125.222,-85.09,top,90,,,,,,,,
C33,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,132.8365,-111.732,top,180,,,,,,,,
C38,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,120.65,-98.1975,top,90,,,,,,,,
C39,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,120.8985,-104.62,top,-90,,,,,,,,
C40,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,138.176,-85.598,top,-90,,,,,,,,
C41,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,146.5525,-97,top,-90,,,,,,,,
C42,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,124.714,-112.649,top,90,,,,,,,,
C43,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,143.002,-112.522,top,-90,,,,,,,,
C44,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,137.6625,-111.732,top,180,,,,,,,,
C45,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,131.318,-85.09,top,90,,,,,,,,
C46,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,146.5525,-102.25,top,-90,,,,,,,,
C47,4.7u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,119.38,-104.648,top,-90,,,,,,,,
C48,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,118.364,-107.95,top,-90,,,,,,,,
C49,1u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,119.8372,-107.95,top,-90,,,,,,,,
J8,USB_OTG,USB_Mini-B_Wuerth_65100516121_Horizontal,155.439,-106.172,top,90,,,,,,,,
J9,PWR_USB,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,140.208,-119.924,top,0,,,,,,,,
R1,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,116.2285,-81.534,top,0,,,,,,,,
R3,0,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,117.348,-98.298,top,90,,,,,,,,
R4,120,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,157.75,-83.75,top,90,,,,,,,,
R5,120,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,155.75,-115.25,top,-90,,,,,,,,
U1,STM32F429ZITx,LQFP-144_20x20mm_P0.5mm,133.858,-99.06,top,0,,,,,,,,
U2,TJA1051T,SOIC-8_3.9x4.9mm_P1.27mm,151.638,-86.106,top,90,,,,,,,,
U3,TJA1051T,SOIC-8_3.9x4.9mm_P1.27mm,148.336,-111.252,top,-90,,,,,,,,
U4,~,Bosch_LGA-14_3x2.5mm_P0.5mm,122.682,-77.724,top,90,,,,,,,,
U5,AMS1117-3.3,SOT-223-3_TabPin2,154.432,-95.25,top,0,,,,,,,,
U6,~,SOT-23-5_HandSoldering,149.25,-103,top,90,,,,,,,,
Y1,16MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,115.57,-93.218,top,0,,,,,,,,
