Comment,Designator,Footprint ,JLCPCB Part #
14pF,"C1, C2",603,C5360816
100nF,"C3-14, C16, C20, C22, C23, C28",603,C76599
4.7uF,"C15, C21",603,C19666
10nF,C17,603,C57112
1uF,C18,603,C15849
500nF,C19,603,C124567
6pF," C24, C25",603,C282508
10uF,C26,603,C96446
22uF,"C27, C29, C30",603,C96446
LED,D1-4,603,C72038
Schottky ," D5, D6",603,C2480
0, R1,603,C441885
100, R2-5,603,C427273
2.2k,"R6-9, R14-R17",603,C2906988
120," R10, R11",603,C4226066
10k,R12,603,C473239
4.7K,R13,603,C473239
STM32F429ZITx,U1,LQFP-144,C92002
TJA1051T,"U2, U3",SOIC-8,C38695
16Mhz,X1,SMD_3225,C12668
,H1-4,,
,J1-5,,
,J6,,
,J7,,
,J8,,
,J10,,
,J12,,
,J13,,
,J14,,
,J15 -16,,
,P2,,
,SW1 ,,
,SW2,,
,SW4,,
,U2-3,,
,U5,,
,U6,,
,X1,,
,Y1,,
